,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
2318,Chevrolet,Captiva Sport,2013,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,24155
2319,Chevrolet,Captiva Sport,2013,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,29615
2320,Chevrolet,Captiva Sport,2013,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,25770
2321,Chevrolet,Captiva Sport,2013,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,24940
2322,Chevrolet,Captiva Sport,2014,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,25145
2323,Chevrolet,Captiva Sport,2014,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,24360
2324,Chevrolet,Captiva Sport,2014,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,25975
2325,Chevrolet,Captiva Sport,2014,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,29495
2326,Chevrolet,Captiva Sport,2015,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,25985
2327,Chevrolet,Captiva Sport,2015,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,29505
2328,Chevrolet,Captiva Sport,2015,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,25155
2329,Chevrolet,Captiva Sport,2015,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,28,20,1385,24370
2886,Bentley,Continental Supersports Convertible,2011,flex-fuel (premium unleaded required/E85),621.0,12.0,AUTOMATIC,all wheel drive,2.0,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Midsize,Convertible,19,12,520,280400
2887,Bentley,Continental Supersports Convertible,2012,flex-fuel (premium unleaded required/E85),621.0,12.0,AUTOMATIC,all wheel drive,2.0,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Midsize,Convertible,19,12,520,280400
2888,Bentley,Continental Supersports,2010,flex-fuel (premium unleaded required/E85),621.0,12.0,AUTOMATIC,all wheel drive,2.0,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Midsize,Coupe,19,12,520,267000
2889,Bentley,Continental Supersports,2011,flex-fuel (premium unleaded required/E85),621.0,12.0,AUTOMATIC,all wheel drive,2.0,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Midsize,Coupe,19,12,520,267000
2890,Bentley,Continental Supersports,2012,flex-fuel (premium unleaded required/E85),621.0,12.0,AUTOMATIC,all wheel drive,2.0,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Midsize,Coupe,19,12,520,267000
3581,Land Rover,Discovery Sport,2015,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,26,20,258,37070
3582,Land Rover,Discovery Sport,2015,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,26,20,258,45570
3583,Land Rover,Discovery Sport,2015,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,26,20,258,41570
3584,Land Rover,Discovery Sport,2016,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,26,20,258,41955
3585,Land Rover,Discovery Sport,2016,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,26,20,258,45955
